operator_qid,operator_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved
Q30605616,Operatori i Sistemit te Transmetimit,Q222,Albania,https://www.ost.al/,Tirana,2004-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Operatori%20i%20Sistemit%20t%C3%AB%20Transmetimit.svg,,
Q110008064,Q110008064,Q916,Angola,http://www.ende.co.ao/,Luanda,1987-08-15T00:00:00Z,,,,electric power distribution,,,
Q133895597,Rede Nacional de Transporte de Electricidade,Q916,Angola,http://www.rnt.co.ao/,,2014-01-01T00:00:00Z,,,,electric power industry,,,
Q131567027,Q131567027,Q414,Argentina,https://edese.com.ar,Santiago del Estero,1995-01-04T00:00:00Z,,,,public utility,,,
Q5337059,Edesur,Q414,Argentina,https://www.edesur.com.ar/,Buenos Aires,1992-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/Edesur%20logo22.png,,
Q117886331,Empresa de Energía de Río Negro Sociedad Anónima,Q414,Argentina,https://www.edersa.com.ar/,Cipolletti,1996-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/EdERSA%20Logo.png,,
Q343225,ActewAGL,Q408,Australia,https://www.actewagl.com.au/,Canberra,2000-10-03T00:00:00Z,,,,electric power distribution,http://commons.wikimedia.org/wiki/Special:FilePath/ActweAGL.png,,
Q4822520,Aurora Energy,Q408,Australia,https://www.auroraenergy.com.au/,Hobart,1998-07-01T00:00:00Z,,286,,electric power distribution,,,
Q7392701,AusNet Services,Q408,Australia,https://www.ausnetservices.com.au/,Southbank,,,,,electric power industry,,Australian Securities Exchange,
Q4822750,Ausgrid,Q408,Australia,https://www.ausgrid.com.au/,Sydney,2011-01-01T00:00:00Z,,,,,,,
Q133890760,CitiPower,Q408,Australia,https://www.citipower.com.au/,,,,,,electric power distribution,,,
Q5357218,ElectraNet,Q408,Australia,http://www.electranet.com.au/,Adelaide,,,,,electric power industry,,,
Q5375986,Endeavour Energy,Q408,Australia,https://www.endeavourenergy.com.au/,Sydney,2011-03-01T00:00:00Z,,,,,,,
Q5376841,Energex,Q408,Australia,https://www.energex.com.au,Brisbane,1997-01-01T00:00:00Z,,,,electric power distribution,,,
Q5385825,Ergon Energy,Q408,Australia,https://www.ergon.com.au/,Townsville,1999-01-01T00:00:00Z,,,,,,,
Q17003842,Essential Energy,Q408,Australia,https://www.essentialenergy.com.au/,Port Macquarie,2011-01-01T00:00:00Z,,,,,,,
Q111081969,Evoenergy,Q408,Australia,https://www.evoenergy.com.au/,Bunda Street,,,,,electric power distribution,,,
Q5903476,Horizon Power,Q408,Australia,,Karratha,,,,,utility,,,
Q7236677,Powercor Australia,Q408,Australia,https://www.powercor.com.au/,Melbourne,1994-05-11T00:00:00Z,,,,electric power distribution,http://commons.wikimedia.org/wiki/Special:FilePath/Powercor.png,,
Q7236786,Powerlink Queensland,Q408,Australia,http://www.powerlink.com.au/,Brisbane,1995-01-01T00:00:00Z,,,,electric power industry,,,
Q7388891,SA Power Networks,Q408,Australia,http://www.sapowernetworks.com.au/,Adelaide,,,,,,,,
Q7833620,TransGrid,Q408,Australia,https://www.transgrid.com.au/,Sydney,,,,,electric power industry,,,
Q7988180,Western Power,Q408,Australia,https://www.westernpower.com.au/,Perth,2006-01-01T00:00:00Z,,,,electric power industry,,,
Q783723,Austrian Power Grid,Q40,Austria,https://www.apg.at/,Vienna,1999-01-01T00:00:00Z,,,,electric power industry,,,
Q113355023,Vorarlberger Energienetze,Q40,Austria,https://www.vorarlbergnetz.at/,Bregenz,,,,,,,,
Q13058110,Dhaka Electric Supply Authority,Q902,Bangladesh,,,1990-01-01T00:00:00Z,,,,,,,2008-01-01T00:00:00Z
Q115734893,Dhaka Electric Supply Company Limited,Q902,Bangladesh,http://www.desco.gov.bd/,Dhaka,1996-11-03T00:00:00Z,,,,electric power distribution,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20DESCO.svg,,
Q23808244,Dhaka Power Distribution Company,Q902,Bangladesh,https://dpdc.org.bd,Dhaka,2005-10-25T00:00:00Z,,,,electric power distribution,,,
Q48732858,Northern Electricity Supply Company Limited,Q902,Bangladesh,http://nesco.gov.bd/,,2005-01-01T00:00:00Z,,,,,,,
Q16254830,Power Grid Company of Bangladesh,Q902,Bangladesh,https://www.pgcb.org.bd/PGCB/,Dhaka,,,,,electric power industry,,,
Q1131131,Elia,Q31,Belgium,https://www.elia.be/,City of Brussels,2001-06-28T00:00:00Z,,3473,3953500000,electric power industry,,Euronext Brussels,
Q5153983,Communauté Électrique du Bénin,Q962,Benin,,,,,,,electric power industry,,,
Q108836834,Societe Beninoise d’Energie Electrique,Q962,Benin,https://www.sbee.bj/,Q43595,,,,,,,,
Q3050658,Elektroprivreda Republike Srpske,Q225,Bosnia and Herzegovina,https://ers.ba/,Trebinje,1992-06-02T00:00:00Z,,456,845400000,electric power industry,,,
Q10341099,Operador Nacional do Sistema Elétrico,Q155,Brazil,https://www.ons.org.br/,Brasília,,,,,electric power industry,,,
Q12279650,Electricity System Operator,Q219,Bulgaria,https://www.eso.bg/,Sofia,2007-04-01T00:00:00Z,,,,electric power transmission,,,
Q4711621,Alberta Electric System Operator,Q16,Canada,https://www.aeso.ca/,Calgary,,,,,electric power industry,,,
Q4835341,BC Transmission Corporation,Q16,Canada,,,,,,,electric power industry,,,
Q3143709,Hydro One,Q16,Canada,https://www.hydroone.com,Toronto,1999-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Hydro-one-teal-new-logo.svg,Toronto Stock Exchange,
Q167840,Hydro-Quebec,Q16,Canada,https://www.hydroquebec.com,Hydro-Québec Building,1944-04-14T00:00:00Z,,23616,13638000000,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Hydro-Qu%C3%A9bec%20logo.svg,,
Q113996102,Hydro-Quebec Distribution,Q16,Canada,,,,,,,,,,
Q136480035,Hydro-Sherbrooke,Q16,Canada,,,,,,,,,,
Q113487242,Lakeland Power,Q16,Canada,https://www.lakelandpower.on.ca/,,,,,,,,,
Q6843392,Midcontinent Independent System Operator,Q16,Canada,https://www.misoenergy.org/,Carmel,2010-03-01T00:00:00Z,,,,electric power industry,,,
Q3339114,Newfoundland and Labrador Hydro,Q16,Canada,http://www.nlh.nl.ca/,St. John's,1954-01-01T00:00:00Z,,,,electric power industry,,,
Q111731463,TransÉnergie,Q16,Canada,,,1997-01-01T00:00:00Z,,,,electric power industry,,,
Q7988370,Western Systems Power Pool,Q16,Canada,http://www.wspp.org/,,1987-01-01T00:00:00Z,,,,electric power industry,,,
Q88774656,HOPS,Q224,Croatia,,,,,,31620,electric power industry,,,
Q41567602,PREdistribuce,Q213,Czech Republic,https://www.predistribuce.cz,Prague,2005-09-07T00:00:00Z,,,,,,,
Q11089927,ČEPS,Q213,Czech Republic,https://www.ceps.cz/,Prague,1998-10-16T00:00:00Z,,1655,22747000000,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20%C4%8CEPS.svg,,
Q11089971,ČEZ Distribuce,Q213,Czech Republic,https://www.cezdistribuce.cz/,Děčín,2010-10-01T00:00:00Z,,4509,1836000000,energy industry,,,
Q1341529,Energinet,Q35,Denmark,https://en.energinet.dk,Erritsø,2005-01-01T00:00:00Z,,520,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Energinet%20logo.svg,,
Q5359452,Elering,Q191,Estonia,https://www.elering.ee,Tallinn,1998-11-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Elering%20logo.svg,,
Q56294552,Eswatini Electricity Company,Q1050,Eswatini,https://www.eec.co.sz/,Mbabane,,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Eswatini-Electricty-Company-Logo.png,,
Q1417185,Fingrid,Q33,Finland,https://www.fingrid.fi,Metsälä,1996-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Fingrid%20logo.svg,,
Q18688883,Kraftnät Åland,Q33,Finland,,,1997-01-01T00:00:00Z,,,,electric power industry,,,
Q2178795,RTE,Q142,France,https://www.rte-france.com,Paris,2000-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/RTE%20logo.svg,,
Q133265905,Q133265905,Q183,Germany,https://www.ewa-altenburg.de/,Altenburg,,,,,energy industry,http://commons.wikimedia.org/wiki/Special:FilePath/Logo-ewa-altenburg-2020.png,,
Q136650240,Q136650240,Q183,Germany,https://www.ngn-mbh.de/,Krefeld,2016-09-01T00:00:00Z,,,,,,,
Q241331,50Hertz Transmission,Q183,Germany,https://www.50hertz.com/,Berlin,2002-01-01T00:00:00Z,,893,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%2050hertz.svg,,
Q124369250,AVU Netz,Q183,Germany,https://www.avu-netz.de,Gevelsberg,,,,,,,,
Q477318,Amprion,Q183,Germany,https://www.amprion.net/,Dortmund,2003-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Amprion%20logo.svg,,
