operator_qid,operator_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved
Q3217126,Landsnet,Q189,Iceland,http://www.landsnet.is/,Reykjavík,2005-01-01T00:00:00Z,,,,electric power industry,,,
Q3400886,Power Grid Corporation of India,Q668,India,http://www.powergridindia.com/,Gurgaon,1989-10-23T00:00:00Z,,,,electric power industry,,,
Q115224013,ESB Networks,Q27,Ireland,https://www.esbnetworks.ie/,Dublin,1927-01-01T00:00:00Z,,3000,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/ESB%20Networks%20Logo.png,,
Q1310503,EirGrid,Q27,Ireland,https://www.eirgridgroup.com/,Dublin,2001-01-01T00:00:00Z,,250,,electric power industry,,,
Q137661508,Ireti,Q38,Italy,https://ireti.it/,Genoa,2016-01-01T00:00:00Z,,,,electric power distribution,,,
Q137733807,SET Distribuzione,Q38,Italy,https://www.setdistribuzione.it/,Rovereto,2005-01-01T00:00:00Z,,,,electric power distribution,,,
Q936325,Terna S.p.A.,Q38,Italy,http://www.terna.it/,Rome,1999-01-01T00:00:00Z,Luigi Ferraris,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Terna.svg,OTC Markets Group,
Q2989790,Compagnie ivoirienne d'electricité,Q1008,Ivory Coast,http://www.cie.ci,,,,,,electric power industry,,,
Q45893542,Q45893542,Q17,Japan,,Tokyo City,1925-05-09T00:00:00Z,,,,electric power industry,,,
Q6335246,KOSTT,Q1246,Kosovo,https://www.kostt.com/,,2006-01-01T00:00:00Z,,,,electric power industry,,,
Q16822050,Augstsprieguma tīkls,Q211,Latvia,https://www.ast.lv/,Riga,1939-10-15T00:00:00Z,,530,158012093,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Ast-logo-rgb.svg,,
Q117848927,Liberia Electricity Corporation,Q1014,Liberia,https://lecliberia.com/,,1973-01-01T00:00:00Z,,,,,,,
Q5217854,"Litgrid, AB",Q37,Lithuania,http://www.litgrid.eu/,Vilnius,2010-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Litgrid%20Logo.svg,,
Q21036415,Creos Luxembourg,Q32,Luxembourg,http://www.creos-net.lu/,Luxembourg,1928-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20creos.jpg,,
Q20429436,Moldelectrica,Q217,Moldova,http://www.moldelectrica.md/,Chișinău,2000-01-01T00:00:00Z,,,,electric power industry,,,
Q5187004,Crnogorski Elektroprenosni Sistem,Q236,Montenegro,http://www.tso-epcg.com/nono/eindex.php,Podgorica,,,,,electric power industry,,,
Q1327509,Elektroprivreda Crne Gore,Q236,Montenegro,http://www.epcg.com,Nikšić,1910-08-19T00:00:00Z,,1031,323604742,electric power industry,,Montenegro Stock Exchange,
Q56294554,Mozambique Transmission Company,Q1029,Mozambique,https://www.motraco.co.mz/,Maputo,,,,,electric power industry,,,
Q1964276,NamPower,Q1030,Namibia,https://www.nampower.com.na/,Windhoek,1964-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Namibia%20Power%20Corporation%20logo.svg,,
Q1127569,TenneT,Q55,Netherlands,https://www.tennet.eu/,Arnhem,1998-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20TenneT.svg,,
Q65068829,Alpine Energy,Q664,New Zealand,https://www.alpineenergy.co.nz,Timaru,,,,,,,,
